cj_preshway,CMG,CNH,CS,DMS,EG,GMR,GS,HB,HRS,Imbc,JW,JYP Ent,KB,KCC,KCI,KD,KG_M,KG_E,KH,KMH_hitex,KTH,KT,KOSPI
5050,909,940,9553,15850,3177,273245,66900,4500,2655,11000,2289,335200,1529,8174,1462,120537,5604,2805,9761,4058,5000,1150,744.97998
5110,949,940,8500,16200,3139,275433,66500,4610,2620,12500,2492,374880,1506,8028,1466,125580,5926,2685,9661,3774,5020,1152,763.390015
5330,936,925,8017,16300,3216,270300,65600,4680,2690,12200,2918,260540,1585,8262,1466,136143,5867,2725,9420,3840,5040,1156,778.820007
5330,922,940,7988,17000,3353,283526,65000,4910,2680,11750,3007,251980,1529,8145,1458,128597,6013,2760,9100,3866,4900,1166,776.02002
5260,922,945,6887,17700,3284,273245,65000,4670,2620,10400,2763,242660,1585,8174,1450,125580,5727,2860,8618,3477,4750,1160,777.700012
5170,936,940,7245,17000,3173,253374,66400,4360,2680,10000,2918,243440,1585,8320,1434,125065,5575,2890,8418,3826,4810,1142,773
5280,942,960,8162,16800,3250,263656,68800,4480,2685,9610,2937,242660,1608,8641,1454,124310,5867,2840,8698,3576,4910,1140,768.26001
5200,909,945,8114,16900,3203,279889,70000,4625,2955,10450,2763,239540,1660,9167,1490,128597,6597,2785,8819,3609,4885,1144,771.98999
5700,909,960,8075,17100,3259,279889,73000,4700,2945,10300,2902,246540,1632,9897,1490,137907,7999,2790,8939,4025,4860,1200,766.909973
5600,922,965,9090,17300,3370,268789,81000,4740,2845,10450,2918,245760,1725,9897,1790,139161,8933,3000,9020,3860,4830,1186,767.169983
5620,909,995,8732,17300,3713,268789,75600,4795,2850,10600,2979,237980,1958,10218,1628,144701,9984,2980,8778,4143,5030,1220,762.929993
6300,922,1000,8066,16500,3606,273245,78600,5260,2900,12200,3325,248880,2326,10276,1677,138664,10509,3120,8839,4051,5150,1236,750.349976
6150,883,970,8549,16750,3653,283526,79200,5180,2900,12700,3421,244200,2149,10247,1624,147718,10861,3225,8698,3959,5030,1238,null
6210,896,1000,8124,16550,3928,276945,81500,5410,2835,10800,3335,242660,2126,10189,1863,141681,10977,3255,8839,3972,4915,1230,737.22998
